"","","","","","","","","","Normalized abundance","","","","Raw abundance","","","","Spectral counts","","","",
"","","","","","","","","","Condition 1","","Condition 2","","Condition 1","","Condition 2","","Condition 1","","Condition 2","",
"Accession","Peptide count","Peptides used for quantitation","Confidence score","Anova (p)*","Max fold change","Highest mean condition","Lowest mean condition","Description","A11-03216","A11-03217","A11-03219","A11-03220","A11-03216","A11-03217","A11-03219","A11-03220","A11-03216","A11-03217","A11-03219","A11-03220",
"sp|Q8VDD5|MYH9_MOUSE","218","166","18388.01","0.0180742751684233","1.05047082505794","Condition 1","Condition 2","Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4","441438645.099468","435644846.62597","416984554.616004","417958663.989864","470734565.110919","435644846.62597","423002065.231826","369417352.651588","405","421","426","418",
"sp|P08032|SPTA1_MOUSE","204","197","17838.46","0.075101715475238","1.01777548792744","Condition 1","Condition 2","Spectrin alpha chain, erythrocyte OS=Mus musculus GN=Spta1 PE=2 SV=3","289820169.213122","287346387.923999","284337328.37679","282748992.706107","309053982.539683","287346387.923999","288440604.800439","249910800.63584","396","419","445","420",
"sp|P15508|SPTB1_MOUSE","173","155","13511.27","0.102702385074895","1.02106595730923","Condition 1","Condition 2","Spectrin beta chain, erythrocyte OS=Mus musculus GN=Sptb PE=1 SV=4","235335379.239724","238755209.775744","232003477.785058","232305987.849088","250953328.69342","238755209.775744","235351523.594008","205326197.134182","309","297","314","314",
"sp|Q02357|ANK1_MOUSE","87","86","6778.44","0.144984121120602","1.05002789307572","Condition 2","Condition 1","Ankyrin-1 OS=Mus musculus GN=Ank1 PE=1 SV=2","96343663.2551521","96758745.0490504","99279651.1774843","103483263.762025","102737476.49209","96758745.0490504","100712357.373151","91464818.500904","173","175","183","172",
"sp|O08638|MYH11_MOUSE","81","49","5331.63","0.0557386251314529","1.06083924354982","Condition 1","Condition 2","Myosin-11 OS=Mus musculus GN=Myh11 PE=1 SV=1","10796474.3038248","10810080.6550938","10035322.4386638","10332094.293223","11512978.5136891","10810080.6550938","10180142.3334041","9132134.94538677","55","53","57","60",
"sp|P11276|FINC_MOUSE","61","59","3400.18","0.00356047539844762","1.13825479489916","Condition 2","Condition 1","Fibronectin OS=Mus musculus GN=Fn1 PE=1 SV=3","18127366.6696243","18270636.704754","20576885.5479935","20853316.3176484","19330382.9661515","18270636.704754","20873830.9044939","18431432.5118492","66","71","81","79",
"sp|P16546|SPTA2_MOUSE","51","47","2544.08","0.278000435127988","1.02613004743336","Condition 1","Condition 2","Spectrin alpha chain, brain OS=Mus musculus GN=Sptan1 PE=1 SV=4","4633016.41593609","4582640.92105581","4565434.98510154","4415548.81908863","4940484.91657545","4582640.92105581","4631318.84862735","3902731.2884968","56","49","47","56",
"sp|P04264|K2C1_CON-HUMAN","50","41","3945.71","0.00491915171834334","1.18317143129929","Condition 1","Condition 2","Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6","59851810.8771528","60330649.1949451","51354748.6206272","50221791.2558639","63823855.1996485","60330649.1949451","52095849.7994995","44389081.4322533","92","90","86","88",
"sp|Q8BTM8|FLNA_MOUSE","49","48","2585.49","0.0034300857104077","1.33785546577356","Condition 2","Condition 1","Filamin-A OS=Mus musculus GN=Flna PE=1 SV=4","7388005.36480483","7233904.78329979","9649436.85737247","9912565.55431913","7878307.73550625","7233904.78329979","9788688.03126645","8761329.86478943","45","48","49","45",
"sp|P60710|ACTB_MOUSE","49","28","4514.44","0.656440528990499","1.02432983881409","Condition 1","Condition 2","Actin, cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1","1147469877.52406","1173865778.44507","1079732795.46727","1186466594.62044","1223621311.29788","1173865778.44507","1095314436.29077","1048671522.22703","168","164","187","174",
